Date,Open,High,Low,Close,Adj Close,Volume
2016-09-21,60.250000,60.500000,59.500000,59.750000,53.633015,19475300
2016-09-22,60.000000,62.500000,60.000000,61.750000,55.428257,28010500
2016-09-23,62.000000,62.250000,61.000000,61.500000,55.203854,20182000
2016-09-26,61.500000,62.000000,61.250000,61.500000,55.203854,14360400
2016-09-27,61.750000,62.500000,61.500000,61.500000,55.203854,13198200
2016-09-28,61.250000,61.750000,60.500000,60.750000,54.530632,14901200
2016-09-29,61.250000,61.750000,61.000000,61.250000,54.979450,15994800
2016-09-30,61.000000,61.500000,60.750000,61.500000,55.203854,15443500
2016-10-03,61.500000,62.250000,61.000000,61.000000,54.755043,13915500
2016-10-04,61.250000,62.250000,61.000000,62.250000,55.877075,17625300
2016-10-05,62.500000,63.000000,62.000000,62.500000,56.101482,20497200
2016-10-06,62.500000,64.000000,62.500000,63.750000,57.223511,31950500
